Bet_Type,User_ID,Bet_Amount,Odds,Payout,Profit,ROI,Overall_Result,Parlay_Details
Single,184,100.12,2.68,268.32,168.2,1.68,Win,"[{'Pick_ID': 1, 'User_ID': 184, 'Player_ID': 253, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.18, 'Actual_Stat': 1.04, 'Result': 'Win', 'Single_Odds': 2.68}]"
Single,29,98.79,2.08,0,-98.79,-1,Loss,"[{'Pick_ID': 2, 'User_ID': 29, 'Player_ID': 26, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 264.51, 'Actual_Stat': 263.86, 'Result': 'Loss', 'Single_Odds': 2.08}]"
Parlay,88,128.7,4.51,0,-128.7,-1,Loss,"[{'Pick_ID': 3, 'User_ID': 88, 'Player_ID': 216, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 1.04, 'Actual_Stat': 1.12, 'Result': 'Win', 'Single_Odds': 1.96}, {'Pick_ID': 4, 'User_ID': 88, 'Player_ID': 1, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.78, 'Actual_Stat': 3.31, 'Result': 'Loss', 'Single_Odds': 2.3}]"
Single,145,24.85,2.95,0,-24.85,-1,Loss,"[{'Pick_ID': 5, 'User_ID': 145, 'Player_ID': 1, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.78, 'Actual_Stat': 3.31, 'Result': 'Loss', 'Single_Odds': 2.95}]"
Single,166,72.61,2.51,182.25,109.64,1.51,Win,"[{'Pick_ID': 6, 'User_ID': 166, 'Player_ID': 185, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 319.58, 'Actual_Stat': 338.99, 'Result': 'Win', 'Single_Odds': 2.51}]"
Single,49,38.16,2.37,90.44,52.28,1.37,Win,"[{'Pick_ID': 7, 'User_ID': 49, 'Player_ID': 35, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 275.09, 'Actual_Stat': 255.54, 'Result': 'Win', 'Single_Odds': 2.37}]"
Single,188,32.46,1.94,0,-32.46,-1,Loss,"[{'Pick_ID': 8, 'User_ID': 188, 'Player_ID': 220, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 283.19, 'Actual_Stat': 291.99, 'Result': 'Loss', 'Single_Odds': 1.94}]"
Single,32,57.28,2.61,149.5,92.22,1.61,Win,"[{'Pick_ID': 9, 'User_ID': 32, 'Player_ID': 266, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 4.44, 'Actual_Stat': 3.61, 'Result': 'Win', 'Single_Odds': 2.61}]"
Single,61,87.47,2.49,0,-87.47,-1,Loss,"[{'Pick_ID': 10, 'User_ID': 61, 'Player_ID': 252, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 3.69, 'Actual_Stat': 4.13, 'Result': 'Loss', 'Single_Odds': 2.49}]"
Single,170,67.09,2.89,0,-67.09,-1,Loss,"[{'Pick_ID': 11, 'User_ID': 170, 'Player_ID': 126, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 216.26, 'Actual_Stat': 220.09, 'Result': 'Loss', 'Single_Odds': 2.89}]"
