User_ID,Num_Bets,Bet_Amount,Date,Odds,Implied_Probabilities,Combined_Probability,Combined_Odds,Vig,Outcomes,Commission,Effective_Bet_Amount,Payout,Profit,Net_Profit
20,5,327.49,2024-09-11 23:54:57,[-350 -250 -350 -250  150],"[0.7777777777777778, 0.7142857142857143, 0.7777777777777778, 0.7142857142857143, 0.4]",0.1234567901,8.1,2.384126984,"['Win', 'Win', 'Loss', 'Loss', 'Loss']",32.749,294.741,0,-327.49,294.741
57,6,829.1,2024-08-04 19:57:07,[-350  200 -200 -200  110  150],"[0.7777777777777778, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.47619047619047616, 0.4]",0.0219478738,45.5625,2.320634921,"['Win', 'Win', 'Win', 'Win', 'Loss', 'Win']",82.91,746.19,1492.38,663.28,-1575.29
73,3,883.88,2024-01-15 11:01:25,[-120  105 -350],"[0.5454545454545454, 0.4878048780487805, 0.7777777777777778]",0.206947524,4.832142857,0.8110372013,"['Loss', 'Loss', 'Win']",88.388,795.492,0,-883.88,795.492
32,3,317.2,2024-07-15 12:48:36,[ 110  180 -200],"[0.47619047619047616, 0.35714285714285715, 0.6666666666666666]",0.1133786848,8.82,0.5,"['Loss', 'Win', 'Win']",31.72,285.48,314.028,-3.172,-345.748
57,4,959.12,2024-04-22 13:08:24,[-150  110 -150  200],"[0.6, 0.47619047619047616, 0.6, 0.3333333333333333]",0.05714285714,17.5,1.00952381,"['Win', 'Loss', 'Loss', 'Win']",95.912,863.208,0,-959.12,863.208
38,3,347.58,2024-08-28 9:36:52,[-200  180 -120],"[0.6666666666666666, 0.35714285714285715, 0.5454545454545454]",0.1298701299,7.7,0.5692640693,"['Win', 'Win', 'Loss']",34.758,312.822,344.1042,-3.4758,-378.8622
25,5,567.68,2024-08-01 7:57:11,[ 180 -110  115 -200 -150],"[0.35714285714285715, 0.5238095238095238, 0.46511627906976744, 0.6666666666666666, 0.6]",0.03480461952,28.73181818,1.612735327,"['Win', 'Win', 'Win', 'Loss', 'Win']",56.768,510.912,766.368,198.688,-823.136
26,5,394.4,2024-10-13 19:02:32,[-150  200 -120 -250  110],"[0.6, 0.3333333333333333, 0.5454545454545454, 0.7142857142857143, 0.47619047619047616]",0.03710575139,26.95,1.669264069,"['Win', 'Loss', 'Loss', 'Win', 'Win']",39.44,354.96,106.488,-287.912,-145.928
14,6,155.36,2024-04-25 22:39:41,[ 180  100  115 -150 -200  105],"[0.35714285714285715, 0.5, 0.46511627906976744, 0.6, 0.6666666666666666, 0.4878048780487805]",0.01620614213,61.705,2.076730681,"['Loss', 'Win', 'Win', 'Win', 'Win', 'Loss']",15.536,139.824,55.9296,-99.4304,-71.4656
3,4,418.47,2024-04-10 11:29:01,[-120 -150 -150  115],"[0.5454545454545454, 0.6, 0.6, 0.46511627906976744]",0.09133192389,10.94907407,1.210570825,"['Win', 'Loss', 'Loss', 'Win']",41.847,376.623,0,-418.47,376.623
64,3,814.42,2024-11-09 9:43:18,[180 150 150],"[0.35714285714285715, 0.4, 0.4]",0.05714285714,17.5,0.1571428571,"['Loss', 'Loss', 'Loss']",81.442,732.978,0,-814.42,732.978
