User_ID,Num_Bets,Bet_Amount,Odds,Implied_Probabilities,Combined_Probability,Combined_Odds,Vig,Overall_Result,Payout,Profit,Commission,Total_Bets,Total_Winnings,Total_Losses,Win_Rate,ROI
52,6,81.33,[-120 -120 -150 -450 -150 -450],"[0.5454545454545454, 0.5454545454545454, 0.6, 0.8181818181818182, 0.6, 0.8181818181818182]",0.0717000204904036,13.946997408931567,2.927272727272728,Loss,0.0,-73.197,8.133000000000001,91,0.0,81.33,9.89010989010989,-0.42366361464752555
93,6,417.26,[ 105  300 -120  100  110 -400],"[0.4878048780487805, 0.25, 0.5454545454545454, 0.5, 0.47619047619047616, 0.8]",0.0126702565726955,78.925,2.059449899693802,Loss,0.0,-375.534,41.726,107,0.0,417.26,14.018691588785046,0.2637989466961906
15,2,180.86,[-200  180],"[0.6666666666666666, 0.35714285714285715]",0.238095238095238,4.2,0.0238095238095237,Loss,0.0,-162.774,18.086,106,0.0,180.86,9.433962264150944,0.22025589574568594
72,5,206.07,[-400 -200 -150 -500 -500],"[0.8, 0.6666666666666666, 0.6, 0.8333333333333334, 0.8333333333333334]",0.2222222222222222,4.5,2.733333333333334,Win,927.315,741.8519999999999,20.607,100,927.315,0.0,11.0,-0.3136379325723106
61,3,448.09,[115 500 180],"[0.46511627906976744, 0.16666666666666666, 0.35714285714285715]",0.0276854928017718,36.120000000000005,-0.0110741971207086,Loss,0.0,-403.281,44.809,89,0.0,448.09,5.617977528089887,-0.3611163021156235
21,5,253.35,[-450 -120 -150 -120 -450],"[0.8181818181818182, 0.5454545454545454, 0.6, 0.5454545454545454, 0.8181818181818182]",0.1195000341506727,8.368198445358939,2.327272727272728,Loss,0.0,-228.015,25.335,117,0.0,253.35,13.675213675213676,-0.1672128187689278
83,5,276.68,[110 300 110 105 400],"[0.47619047619047616, 0.25, 0.47619047619047616, 0.4878048780487805, 0.2]",0.0055306675515734,180.81,0.8901858304297328,Loss,0.0,-249.012,27.668000000000003,82,0.0,276.68,12.195121951219512,-0.17313479745853202
87,5,478.68,[-450  100  105 -200  400],"[0.8181818181818182, 0.5, 0.4878048780487805, 0.6666666666666666, 0.2]",0.0266075388026607,37.583333333333336,1.6726533628972655,Loss,0.0,-430.812,47.868,121,0.0,478.68,13.223140495867769,0.38038543278658093
75,2,444.5,[105 180],"[0.4878048780487805, 0.35714285714285715]",0.1742160278745644,5.739999999999999,-0.1550522648083623,Loss,0.0,-400.05,44.45,103,0.0,444.5,3.8834951456310676,-0.7567062306085507
75,2,93.04,[ 110 -400],"[0.47619047619047616, 0.8]",0.3809523809523809,2.625,0.2761904761904761,Win,244.23,160.494,9.304,103,244.23,0.0,3.8834951456310676,-0.7567062306085507
88,3,241.88,[400 220 220],"[0.2, 0.3125, 0.3125]",0.01953125,51.2,-0.175,Loss,0.0,-217.692,24.188,103,0.0,241.88,6.796116504854369,-0.46804961395712774
100,5,485.94,[-400 -120 -500 -105 -450],"[0.8, 0.5454545454545454, 0.8333333333333334, 0.5121951219512195, 0.8181818181818182]",0.1523886313243297,6.562169312169312,2.5091648189209166,Loss,0.0,-437.346,48.594,86,0.0,485.94,5.813953488372093,-0.6350692352896019
24,2,192.46,[ 400 -400],"[0.2, 0.8]",0.16,6.249999999999999,0.0,Loss,0.0,-173.214,19.246,95,0.0,192.46,14.736842105263156,0.19218692052791075
3,3,192.07,[-450 -120  400],"[0.8181818181818182, 0.5454545454545454, 0.2]",0.0892561983471074,11.203703703703702,0.5636363636363637,Loss,0.0,-172.863,19.207,99,0.0,192.07,16.161616161616163,-0.10915543410570538
22,3,105.56,[-500  100  110],"[0.8333333333333334, 0.5, 0.47619047619047616]",0.1984126984126984,5.04,0.8095238095238098,Loss,0.0,-95.004,10.556,98,0.0,105.56,8.16326530612245,0.34011956522868064
53,5,66.02,[ 500  180 -120  110 -105],"[0.16666666666666666, 0.35714285714285715, 0.5454545454545454, 0.47619047619047616, 0.5121951219512195]",0.0079189103579347,126.28000000000002,1.057649667405765,Loss,0.0,-59.41799999999999,6.602,100,0.0,66.02,6.0,-0.564363163742687
2,4,372.75,[-450 -500 -200 -120],"[0.8181818181818182, 0.8333333333333334, 0.6666666666666666, 0.5454545454545454]",0.2479338842975206,4.033333333333333,1.863636363636364,Loss,0.0,-335.475,37.275,110,0.0,372.75,10.909090909090908,0.04255257148503997
88,5,387.31,[110 500 300 110 500],"[0.47619047619047616, 0.16666666666666666, 0.25, 0.47619047619047616, 0.16666666666666666]",0.0015747039556563,635.0400000000001,0.5357142857142858,Loss,0.0,-348.579,38.731,103,0.0,387.31,6.796116504854369,-0.46804961395712774
30,4,484.82,[-105 -105 -450  115],"[0.5121951219512195, 0.5121951219512195, 0.8181818181818182, 0.46511627906976744]",0.0998348662391383,10.016540690350212,1.3076883411540248,Loss,0.0,-436.338,48.482,100,0.0,484.82,14.000000000000002,-0.157179493028686
38,3,388.97,[ 100  180 -450],"[0.5, 0.35714285714285715, 0.8181818181818182]",0.1461038961038961,6.844444444444443,0.6753246753246755,Loss,0.0,-350.07300000000004,38.897000000000006,111,0.0,388.97,8.108108108108109,-0.004164354201371617
2,2,129.24,[110 100],"[0.47619047619047616, 0.5]",0.238095238095238,4.2,-0.0238095238095238,Loss,0.0,-116.316,12.924,110,0.0,129.24,10.909090909090908,0.04255257148503997
64,6,29.66,[ 180  500 -400  180 -120  180],"[0.35714285714285715, 0.16666666666666666, 0.8, 0.35714285714285715, 0.5454545454545454, 0.35714285714285715]",0.0033130135170951,301.84000000000003,1.5835497835497838,Loss,0.0,-26.694,2.966,99,0.0,29.66,9.090909090909092,-0.3548993122856048
60,3,492.86,[400 100 110],"[0.2, 0.5, 0.47619047619047616]",0.0476190476190476,21.0,0.176190476190476,Loss,0.0,-443.574,49.286,109,0.0,492.86,8.256880733944955,-0.6071510710414525
21,2,176.82,[-450 -105],"[0.8181818181818182, 0.5121951219512195]",0.4190687361419069,2.386243386243386,0.3303769401330378,Win,421.9355555555555,262.7975555555555,17.682,117,421.9355555555555,0.0,13.675213675213676,-0.1672128187689278
33,3,162.87,[-200  180  180],"[0.6666666666666666, 0.35714285714285715, 0.35714285714285715]",0.0850340136054421,11.76,0.3809523809523809,Loss,0.0,-146.583,16.287000000000003,102,0.0,162.87,14.705882352941178,-0.22230271821720413
