User_ID,Num_Bets,Bet_Amount,Odds,Implied_Probabilities,Combined_Probability,Combined_Odds,Vig,Outcomes,Commission,Effective_Bet_Amount,Payout,Profit,Net_Profit
20,4,51.62,[ 450 -200  115 -105],"[0.18181818181818182, 0.6666666666666666, 0.46511627906976744, 0.5121951219512195]",0.02887639870056206,34.63035714285714,0.8257962495058353,"['Loss', 'Loss', 'Loss', 'Win']",7.742999999999999,43.876999999999995,0.0,-51.62,43.876999999999995
57,2,365.12,[ 115 -105],"[0.46511627906976744, 0.5121951219512195]",0.238230289279637,4.197619047619048,-0.022688598979013097,"['Win', 'Loss']",54.768,310.352,0.0,-365.12,310.352
73,3,162.42,[115 105 400],"[0.46511627906976744, 0.4878048780487805, 0.2]",0.04537719795802609,22.0375,0.1529211571185478,"['Loss', 'Loss', 'Loss']",24.362999999999996,138.057,0.0,-162.42,138.057
32,3,273.53,[ 105  180 -120],"[0.4878048780487805, 0.35714285714285715, 0.5454545454545454]",0.09502692429521697,10.523333333333333,0.3904022806461831,"['Loss', 'Loss', 'Loss']",41.02949999999999,232.5005,0.0,-273.53,232.5005
57,2,483.1,[-200 -200],"[0.6666666666666666, 0.6666666666666666]",0.4444444444444444,2.25,0.33333333333333326,"['Win', 'Loss']",72.465,410.635,0.0,-483.1,410.635
38,3,176.22,[-150  450  220],"[0.6, 0.18181818181818182, 0.3125]",0.03409090909090909,29.333333333333336,0.09431818181818175,"['Loss', 'Loss', 'Loss']",26.433,149.787,0.0,-176.22,149.787
25,6,366.04,[ 400 -105 -150  400  115  115],"[0.2, 0.5121951219512195, 0.6, 0.2, 0.46511627906976744, 0.46511627906976744]",0.0026593148570750176,376.0367063492063,1.4424276800907543,"['Loss', 'Win', 'Win', 'Loss', 'Loss', 'Win']",54.906,311.134,0.0,-366.04,311.134
26,5,204.05,[ 400  450 -120  100  450],"[0.2, 0.18181818181818182, 0.5454545454545454, 0.5, 0.18181818181818182]",0.001803155522163787,554.5833333333333,0.6090909090909091,"['Loss', 'Loss', 'Win', 'Loss', 'Loss']",30.6075,173.4425,0.0,-204.05,173.4425
14,2,143.71,[-120 -200],"[0.5454545454545454, 0.6666666666666666]",0.3636363636363636,2.7500000000000004,0.21212121212121193,"['Win', 'Win']",21.5565,122.15350000000001,366.4605,222.75050000000002,-388.01700000000005
3,6,60.52,[ 100 -150 -105  180 -105  105],"[0.5, 0.6, 0.5121951219512195, 0.35714285714285715, 0.5121951219512195, 0.4878048780487805]",0.013711350676861914,72.93227513227514,1.9693379790940768,"['Loss', 'Loss', 'Loss', 'Loss', 'Loss', 'Win']",9.078,51.44200000000001,0.0,-60.52,51.44200000000001
