User_ID,Num_Bets,Bet_Amount,Odds,Implied_Probabilities,Outcomes,Payout,Profit
52,6,81.33,[-120 -120 -150 -450 -150 -450],"[0.5454545454545454, 0.5454545454545454, 0.6, 0.8181818181818182, 0.6, 0.8181818181818182]","['Win', 'Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-81.33
93,6,417.26,[ 105  300 -120  100  110 -400],"[0.4878048780487805, 0.25, 0.5454545454545454, 0.5, 0.47619047619047616, 0.8]","['Win', 'Win', 'Loss', 'Win', 'Loss', 'Win']",166.904,-250.356
15,2,180.86,[-200  180],"[0.6666666666666666, 0.35714285714285715]","['Win', 'Loss']",0.0,-180.86
72,5,206.07,[-400 -200 -150 -500 -500],"[0.8, 0.6666666666666666, 0.6, 0.8333333333333334, 0.8333333333333334]","['Loss', 'Loss', 'Loss', 'Win', 'Win']",0.0,-206.07
61,3,448.09,[115 500 180],"[0.46511627906976744, 0.16666666666666666, 0.35714285714285715]","['Win', 'Loss', 'Loss']",0.0,-448.09
21,5,253.35,[-450 -120 -150 -120 -450],"[0.8181818181818182, 0.5454545454545454, 0.6, 0.5454545454545454, 0.8181818181818182]","['Win', 'Win', 'Win', 'Win', 'Loss']",506.7,253.35
83,5,276.68,[110 300 110 105 400],"[0.47619047619047616, 0.25, 0.47619047619047616, 0.4878048780487805, 0.2]","['Loss', 'Win', 'Win', 'Win', 'Loss']",110.67200000000001,-166.00799999999998
87,5,478.68,[-450  100  105 -200  400],"[0.8181818181818182, 0.5, 0.4878048780487805, 0.6666666666666666, 0.2]","['Win', 'Loss', 'Win', 'Win', 'Loss']",191.472,-287.20799999999997
75,2,444.5,[105 180],"[0.4878048780487805, 0.35714285714285715]","['Win', 'Win']",0.0,-444.5
75,2,93.04,[ 110 -400],"[0.47619047619047616, 0.8]","['Win', 'Win']",0.0,-93.04
88,3,241.88,[400 220 220],"[0.2, 0.3125, 0.3125]","['Loss', 'Loss', 'Win']",0.0,-241.88
100,5,485.94,[-400 -120 -500 -105 -450],"[0.8, 0.5454545454545454, 0.8333333333333334, 0.5121951219512195, 0.8181818181818182]","['Win', 'Win', 'Win', 'Win', 'Win']",4859.4,4373.46
24,2,192.46,[ 400 -400],"[0.2, 0.8]","['Win', 'Win']",0.0,-192.46
3,3,192.07,[-450 -120  400],"[0.8181818181818182, 0.5454545454545454, 0.2]","['Win', 'Loss', 'Win']",240.08749999999998,48.017499999999984
22,3,105.56,[-500  100  110],"[0.8333333333333334, 0.5, 0.47619047619047616]","['Win', 'Loss', 'Win']",131.95,26.389999999999986
53,5,66.02,[ 500  180 -120  110 -105],"[0.16666666666666666, 0.35714285714285715, 0.5454545454545454, 0.47619047619047616, 0.5121951219512195]","['Loss', 'Win', 'Win', 'Win', 'Loss']",26.408,-39.611999999999995
